eff,win,p05,pior,cap,w,cuts,eff_por_cap
1.162129620582087,78.99159663865547,0.8551359308786808,0.8351169851613784,1.446917808219178,"(1, 1, 1, 1)","(70, 78, 86, 94)",0.3627727908809917
1.170824137572062,79.83193277310924,0.8387887549175775,0.8102622225684525,1.5486301369863014,"(1, 1, 1, 1)","(70, 76, 82, 88)",0.3113648450127473
1.1623172811269433,78.99159663865547,0.8285014296083043,0.8165987877013644,1.5465753424657533,"(1, 1, 1, 1)","(64, 74, 84, 92)",0.2969714667234803
1.1691474303709275,78.99159663865547,0.8623745208375561,0.8351169851613784,1.4972602739726026,"(1, 1, 1, 2)","(70, 78, 86, 94)",0.34015874427211323
1.1816117410027893,80.67226890756302,0.8500569877303348,0.8102622225684525,1.5873287671232876,"(1, 1, 1, 2)","(70, 76, 82, 88)",0.30921649196976375
1.1690034219938799,79.83193277310924,0.8376510769680793,0.8285056674265457,1.5952054794520547,"(1, 1, 1, 2)","(64, 74, 84, 92)",0.2839413073775197
1.1709503969275474,79.83193277310924,0.8685412030550812,0.8351169851613784,1.5424657534246575,"(1, 1, 1, 3)","(70, 78, 86, 94)",0.3151358327199738
1.175518529331735,79.83193277310924,0.8669611765376728,0.8351169851613784,1.5708904109589041,"(1, 1, 1, 4)","(70, 78, 86, 94)",0.30744697399440074
1.1533521735911658,78.15126050420169,0.8487769463330793,0.8384523911075817,1.4585616438356164,"(1, 1, 2, 1)","(70, 78, 86, 94)",0.33441997526975675
1.1663866322389307,78.15126050420169,0.829566852249916,0.8194454470256022,1.5626712328767123,"(1, 1, 2, 1)","(70, 76, 82, 88)",0.2957084395238452
1.1547263850704743,78.15126050420169,0.8203913584782722,0.8067197547502674,1.564041095890411,"(1, 1, 2, 1)","(64, 74, 84, 92)",0.27431757401687007
1.1641599976771733,78.99159663865547,0.8556978333301671,0.8472477549681887,1.4845890410958904,"(1, 1, 2, 2)","(70, 78, 86, 94)",0.33876126729141054
1.171931169245521,79.83193277310924,0.843148904334405,0.8228654496971676,1.5787671232876712,"(1, 1, 2, 2)","(70, 76, 82, 88)",0.2970645054419653
1.1657368280464047,78.99159663865547,0.8624869401782326,0.8478049281558432,1.5287671232876712,"(1, 1, 2, 3)","(70, 78, 86, 94)",0.3134401152172938
1.1859849716375381,80.67226890756302,0.8498455496702051,0.8228654496971676,1.5986301369863014,"(1, 1, 2, 3)","(70, 76, 82, 88)",0.31068427756385086
