c,beta,Mmax,eff,win,cap,eff_por_capital,eff_2021
1.0,4,2,1.0669,82.4,1.074,0.8992,1.0642
1.2,1,4,1.0421,82.4,1.048,0.8806,1.0408
1.2,1,3,1.0421,82.4,1.048,0.8806,1.0408
1.2,1,2,1.0421,82.4,1.048,0.8806,1.0408
1.2,1,5,1.0421,82.4,1.048,0.8806,1.0408
1.2,2,5,1.0944,82.4,1.112,0.8438,1.0922
1.2,2,4,1.0944,82.4,1.112,0.8438,1.0922
1.2,2,3,1.0944,82.4,1.112,0.8438,1.0922
1.0,1,5,1.0154,83.2,1.018,0.8407,1.0142
1.0,1,2,1.0154,83.2,1.018,0.8407,1.0142
1.0,1,4,1.0154,83.2,1.018,0.8407,1.0142
1.0,1,3,1.0154,83.2,1.018,0.8407,1.0142
1.0,3,2,1.052,83.2,1.062,0.836,1.0485
1.0,2,5,1.0337,82.4,1.041,0.8239,1.0304
1.0,2,3,1.0337,82.4,1.041,0.8239,1.0304
1.0,2,4,1.0337,82.4,1.041,0.8239,1.0304
1.0,2,2,1.0335,82.4,1.041,0.8233,1.0304
1.2,2,2,1.0888,82.4,1.108,0.8217,1.0885
1.0,3,3,1.0542,82.4,1.069,0.785,1.0488
1.0,3,4,1.0542,82.4,1.069,0.7846,1.0488
1.0,3,5,1.0542,82.4,1.069,0.7846,1.0488
1.0,4,3,1.077,82.4,1.099,0.7812,1.0699
1.2,3,5,1.1547,82.4,1.198,0.7807,1.1559
1.2,3,4,1.1546,82.4,1.198,0.7807,1.1559
1.2,3,3,1.1496,82.4,1.194,0.7731,1.152
1.4,1,4,1.0712,84.0,1.095,0.7497,1.0683
1.4,1,3,1.0712,84.0,1.095,0.7497,1.0683
1.4,1,2,1.0712,84.0,1.095,0.7497,1.0683
1.4,1,5,1.0712,84.0,1.095,0.7497,1.0683
1.0,4,4,1.0771,82.4,1.103,0.7457,1.07
1.2,3,2,1.1023,81.5,1.138,0.7404,1.1073
1.0,4,5,1.0771,82.4,1.104,0.7402,1.07
1.2,4,2,1.109,81.5,1.148,0.7341,1.1125
1.2,4,5,1.2233,82.4,1.313,0.713,1.2319
1.2,4,4,1.2131,82.4,1.299,0.7128,1.221
1.2,4,3,1.1774,82.4,1.251,0.7068,1.1853
1.4,2,3,1.1584,83.2,1.236,0.6717,1.1576
1.4,2,4,1.1587,84.0,1.237,0.671,1.1582
1.4,2,5,1.1587,84.0,1.237,0.671,1.1582
1.4,2,2,1.1129,83.2,1.177,0.6369,1.1146
1.6,1,4,1.0995,84.0,1.163,0.6102,1.0948
1.6,1,5,1.0995,84.0,1.163,0.6102,1.0948
1.6,1,3,1.0995,84.0,1.163,0.6102,1.0948
1.6,1,2,1.0985,84.0,1.163,0.6049,1.0947
1.4,3,5,1.2616,83.2,1.447,0.5851,1.2695
1.4,3,2,1.1168,83.2,1.204,0.5712,1.1195
1.4,3,3,1.1911,84.0,1.336,0.5694,1.2009
1.4,3,4,1.2372,82.4,1.418,0.5681,1.25
1.6,2,5,1.222,85.7,1.419,0.5295,1.2196
1.4,4,3,1.1955,83.2,1.377,0.5182,1.2077
1.4,4,2,1.1172,84.0,1.227,0.5159,1.1194
1.6,2,4,1.2158,84.9,1.419,0.5155,1.2191
1.4,4,4,1.2595,83.2,1.505,0.5134,1.2745
1.6,2,3,1.19,84.0,1.382,0.4976,1.1957
1.4,4,5,1.3024,82.4,1.612,0.4944,1.3261
1.6,2,2,1.1195,84.9,1.264,0.452,1.1211
1.6,3,4,1.2551,84.9,1.622,0.4104,1.269
1.6,3,5,1.2962,84.9,1.729,0.4064,1.3179
1.6,3,3,1.1958,84.9,1.496,0.3948,1.2047
1.6,3,2,1.1211,84.0,1.322,0.3759,1.1226
1.6,4,2,1.1217,85.7,1.342,0.3558,1.1244
1.6,4,5,1.3045,84.9,1.88,0.3461,1.3221
1.6,4,3,1.1982,84.9,1.578,0.3432,1.1998
1.6,4,4,1.2563,84.9,1.748,0.3425,1.2662
