indicador,coluna,threshold,TREINO 2013-2020|freq%,TREINO 2013-2020|lift,TREINO 2013-2020|eff@2x,TESTE 2021-2026|freq%,TESTE 2021-2026|lift,TESTE 2021-2026|eff@2x,COMPLETO 2013-2026|freq%,COMPLETO 2013-2026|lift,COMPLETO 2013-2026|eff@2x
Mayer Multiple,mayer,1.0,35.4,0.5244,0.8757,45.4,1.1729,1.0539,39.5,0.4741,0.851
Mayer Multiple,mayer,0.9,26.9,0.5203,0.8984,30.9,1.306,1.0721,28.5,0.495,0.8879
Mayer Multiple,mayer,0.8,16.8,0.5506,0.9352,17.0,1.5137,1.0745,16.9,0.5541,0.9356
Mayer Multiple,mayer,0.7,7.7,0.5449,0.9676,7.2,1.7079,1.0476,7.5,0.5647,0.9697
Mayer Multiple,mayer,0.6,1.8,0.7903,0.9963,1.7,2.0685,1.0177,1.8,0.8213,0.9969
MVRV,mvrv,1.5,41.1,0.6275,0.8914,35.4,1.4784,1.1251,38.8,0.6698,0.9078
MVRV,mvrv,1.2,20.7,0.8648,0.9768,14.7,1.9501,1.1215,18.2,0.9876,0.9981
MVRV,mvrv,1.1,17.4,0.9251,0.9889,10.8,2.1917,1.1163,14.6,1.0999,1.0127
MVRV,mvrv,1.0,15.2,0.924,0.99,8.6,2.265,1.1002,12.5,1.1298,1.0144
MVRV,mvrv,0.9,11.4,0.9333,0.9932,4.0,2.4412,1.0553,8.3,1.2779,1.0213
MVRV,mvrv,0.8,3.6,0.9965,0.9999,0.2,2.5675,1.0038,2.2,1.6213,1.0134
Preco/Realized Price,price_to_rp,1.5,41.2,0.6235,0.8901,35.4,1.4773,1.1248,38.8,0.6659,0.9066
Preco/Realized Price,price_to_rp,1.2,20.8,0.8652,0.9768,14.8,1.9493,1.122,18.3,0.9869,0.998
Preco/Realized Price,price_to_rp,1.1,17.4,0.9257,0.989,10.8,2.1957,1.1162,14.6,1.1021,1.013
Preco/Realized Price,price_to_rp,1.0,15.2,0.9226,0.9898,8.6,2.2672,1.1004,12.5,1.1288,1.0143
Preco/Realized Price,price_to_rp,0.9,11.4,0.9424,0.9941,4.1,2.4439,1.0567,8.4,1.2857,1.0221
Preco/Realized Price,price_to_rp,0.8,3.8,1.026,1.0009,0.3,2.596,1.0046,2.3,1.6592,1.0151
Preco/MM200W,p_ma200w,2.0,33.1,0.2948,0.8246,62.9,1.1654,1.0638,45.5,0.2221,0.7568
Preco/MM200W,p_ma200w,1.5,12.3,0.306,0.9239,42.0,1.4067,1.1204,24.7,0.1649,0.8347
Preco/MM200W,p_ma200w,1.2,4.3,0.0833,0.9624,30.8,1.5906,1.1389,15.3,0.0405,0.8727
Preco/MM200W,p_ma200w,1.0,0.2,0.0614,0.9981,16.5,1.9359,1.1324,7.0,0.0266,0.9365
Preco/MM200W,p_ma200w,0.9,0.0,0.0641,0.9997,8.2,2.2729,1.0967,3.4,0.0301,0.9678
Preco/MM200W,p_ma200w,0.8,0.0,,,3.2,2.5163,1.0473,1.3,0.0328,0.9872
RSI semanal,rsi_weekly,45.0,24.9,0.6409,0.9284,30.9,1.2837,1.0671,27.4,0.587,0.9111
RSI semanal,rsi_weekly,40.0,10.8,0.7195,0.9727,22.2,1.4234,1.0769,15.5,0.5077,0.9338
RSI semanal,rsi_weekly,35.0,4.8,0.7289,0.9876,12.8,1.7332,1.0831,8.1,0.4428,0.9582
