modelo,n_ind,eff_mediana,pct_janelas_win,eff_p05,eff_pior,rank_mediano,capital_x,eff_2021
MVRV + MM200W,2,1.2329418069944529,83.19327731092437,0.8365505255297921,0.8275613486036755,0.9006849315068493,1.7287671232876711,1.2581752187132962
MVRV,1,1.216449498786443,81.5126050420168,0.835379592880547,0.8258418236757629,0.8767123287671232,1.5034246575342465,1.2374076230636069
MVRV + MM200W + RSI,3,1.1956912822344667,81.5126050420168,0.8278919734706901,0.8195354716750676,0.821917808219178,1.645890410958904,1.222068953147696
MVRV + RSI,2,1.1831858505449877,78.99159663865547,0.8027546934556077,0.7903688766502381,0.8047945205479452,1.5794520547945206,1.2053617034562436
MM200W + RSI,2,1.1831811762008622,81.5126050420168,0.8270287887476097,0.8129486795723709,0.8082191780821918,1.7482876712328768,1.1977117039141876
MVRV + Mayer + MM200W,3,1.1729672479653053,79.83193277310924,0.8226651615667574,0.8113931369977571,0.8013698630136986,1.6078767123287672,1.2218727401498306
MVRV + Mayer + MM200W + RSI,4,1.1662265698495622,79.83193277310924,0.8085231416885929,0.7955584828955168,0.7842465753424658,1.635958904109589,1.2098908775535238
Mayer + MM200W + RSI,3,1.165178781358962,78.99159663865547,0.8093375585189413,0.7946460109278193,0.7773972602739726,1.6904109589041096,1.1799836985117491
MVRV + Mayer,2,1.1572332719558038,77.31092436974791,0.7931137898384527,0.7755474048999645,0.7876712328767124,1.5527397260273972,1.1925113854189409
RSI,1,1.1464689915943524,74.78991596638656,0.7702981454521018,0.7526983145169815,0.7226027397260274,1.7852739726027398,1.1459852754454078
Mayer + MM200W,2,1.1451989834232437,78.15126050420169,0.8353812824100196,0.8209775033941173,0.7842465753424657,1.6897260273972603,1.1925513805778944
MVRV + Mayer + RSI,3,1.141846066860676,77.31092436974791,0.7852144220977828,0.7703624372435677,0.7602739726027398,1.5962328767123288,1.1817401623246941
Mayer + RSI,2,1.130144940764989,73.94957983193278,0.7625442473992765,0.7425024765176796,0.7089041095890412,1.7445205479452055,1.1410809377793292
MVRV + Mayer + MM200W + RSI + HashR,5,1.1049892898780964,77.31092436974791,0.8953419577534563,0.8878215416174353,0.8116438356164384,1.3198630136986302,1.1277591389913877
MVRV + MM200W + RSI + HashR,4,1.1038160692531793,79.83193277310924,0.9064868466250598,0.8962912183703264,0.8630136986301369,1.289041095890411,1.11366865432922
MVRV + RSI + HashR,3,1.0961981754308703,79.83193277310924,0.9108515791265115,0.9010579040802783,0.8527397260273972,1.2863013698630137,1.0980493580941042
Mayer,1,1.0912697310855353,70.58823529411765,0.75468270050364,0.7381176614219441,0.6643835616438356,1.7222602739726027,1.1222680894600066
Mayer + MM200W + RSI + HashR,4,1.088556950841459,78.15126050420169,0.9056681891000594,0.8979792777404625,0.8047945205479452,1.3256849315068493,1.098229544857664
MVRV + Mayer + MM200W + HashR,4,1.0872676138013488,78.15126050420169,0.906528144164734,0.8959227677185745,0.8732876712328768,1.289041095890411,1.1157827267661429
MVRV + MM200W + HashR,3,1.0842587283250995,80.67226890756302,0.9200839931185967,0.9064474118583493,0.8664383561643836,1.2729452054794521,1.108852382335674
MM200W + RSI + HashR,3,1.0832174687082843,81.5126050420168,0.925193417390753,0.9109866993420147,0.8561643835616438,1.3167808219178083,1.0801662843431843
MVRV + Mayer + RSI + HashR,4,1.0831013593330194,76.47058823529412,0.8930472487220545,0.8829716358480276,0.8047945205479452,1.3037671232876713,1.1018278977923985
MVRV + Mayer + HashR,3,1.0800664937096112,75.63025210084034,0.9138834095879237,0.9046284213075656,0.8561643835616438,1.264041095890411,1.0979525713820057
MM200W + HashR,2,1.0795088478036887,78.15126050420169,0.9504725775286834,0.8967353250194466,0.8835616438356164,1.334931506849315,1.0487545803540756
MM200W,1,1.0767097642713919,57.14285714285714,0.814126870830357,0.8063533594679144,0.5856164383561644,1.6071917808219178,1.2558713497465066
Mayer + RSI + HashR,3,1.07497188914084,75.63025210084034,0.9056362366929258,0.8990855696977466,0.7945205479452054,1.326027397260274,1.0762033260163213
MVRV + HashR,2,1.0741443824583456,78.15126050420169,0.9249629594784137,0.9145652890156076,0.8698630136986302,1.2726027397260273,1.084812738579135
Mayer + MM200W + HashR,3,1.071574324913954,77.31092436974791,0.9189675373941213,0.9117539330289881,0.8527397260273972,1.314041095890411,1.0858565077706084
RSI + HashR,2,1.0659633029808242,75.63025210084034,0.9244486729071518,0.9074376384484641,0.821917808219178,1.3404109589041096,1.0434395220066446
Mayer + HashR,2,1.0517434010144169,73.10924369747899,0.9163557419044948,0.9060156586828937,0.8047945205479452,1.3267123287671232,1.0365436767489584
HashR,1,1.0346556889989018,68.90756302521008,0.9291952404020439,0.8800149381150839,0.7294520547945206,1.5301369863013699,1.003757307352978
